,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue Latitude,Venue Longitude,Venue Category,Level I,Level II,Level III,Level IV
1912,Washington Heights,40.85190253,-73.93690028,Highest Natural Point In Manhattan,40.85284300448839,-73.93764973534918,Park,Outdoors & Recreation,Park,Park,Park
1913,Washington Heights,40.85190253,-73.93690028,Bennett Park,40.85296731395129,-73.93787361453009,Park,Outdoors & Recreation,Park,Park,Park
1914,Inwood,40.86768396,-73.92121042,Isham Park,40.86964681199003,-73.91921038865577,Park,Outdoors & Recreation,Park,Park,Park
1915,Inwood,40.86768396,-73.92121042,Inwood Hill Park,40.870857526105226,-73.92012895296453,Park,Outdoors & Recreation,Park,Park,Park
1916,Hamilton Heights,40.82360428,-73.94968792,Riverside Park 138th St Entrance,40.82306337331719,-73.9549277650913,Park,Outdoors & Recreation,Park,Park,Park
1917,Manhattanville,40.81693443,-73.95738539,West Harlem Piers Park,40.818792568120024,-73.96102935944113,Park,Outdoors & Recreation,Park,Park,Park
1918,Central Harlem,40.81597607,-73.94321113,St. Nicholas Park,40.81788533831058,-73.94843816757201,Park,Outdoors & Recreation,Park,Park,Park
1919,East Harlem,40.79224947,-73.94418223,Pioneers' Gate,40.792023410946506,-73.94558774654351,Park,Outdoors & Recreation,Park,Park,Park
1920,Upper East Side,40.77563857,-73.96050763,Central Park - Miner's Gate - E 79th St,40.7770931433309,-73.96377296481572,Park,Outdoors & Recreation,Park,Park,Park
1921,Yorkville,40.77592985,-73.94711784,Carl Schurz Park,40.77511823969361,-73.94376326618595,Park,Outdoors & Recreation,Park,Park,Park
1922,Yorkville,40.77592985,-73.94711784,East River Promenade,40.774919347037226,-73.94288063049315,Park,Outdoors & Recreation,Park,Park,Park
1923,Roosevelt Island,40.76215961,-73.94916769,Manhattan Park,40.7655396450576,-73.9470753989693,Park,Outdoors & Recreation,Park,Park,Park
1924,Lincoln Square,40.77352889,-73.98533777,Damrosch Park,40.77217703584033,-73.98508910271165,Park,Outdoors & Recreation,Park,Park,Park
1925,Clinton,40.75910089,-73.99611936,Hell's Kitchen Park & Playground,40.76192972020586,-73.9919774549022,Park,Outdoors & Recreation,Park,Park,Park
1926,Midtown,40.7546911,-73.98166883,Bryant Park,40.753621,-73.983265,Park,Outdoors & Recreation,Park,Park,Park
1927,Chelsea,40.74403471,-74.00311633,High Line,40.746825,-74.005507,Park,Outdoors & Recreation,Park,Park,Park
1928,Greenwich Village,40.72693289,-73.99991403,Sasaki Garden,40.728148366596216,-73.99729697505936,Park,Outdoors & Recreation,Park,Park,Park
1929,East Village,40.72784678,-73.98222617,Tompkins Square Park,40.72622630237012,-73.98223675697439,Park,Outdoors & Recreation,Park,Park,Park
1930,Lower East Side,40.71780675,-73.98089032,Hillman Park,40.71473616179676,-73.9803900226855,Park,Outdoors & Recreation,Park,Park,Park
1931,Lower East Side,40.71780675,-73.98089032,Ahearn Park,40.71476904078449,-73.98334980010986,Park,Outdoors & Recreation,Park,Park,Park
1932,Tribeca,40.72152197,-74.01068329,Pier 26 - Hudson River Park,40.72094711352764,-74.0129479765892,Park,Outdoors & Recreation,Park,Park,Park
1933,Tribeca,40.72152197,-74.01068329,Pier 25 - Hudson River Park,40.72019260471762,-74.01295032920208,Park,Outdoors & Recreation,Park,Park,Park
1934,Tribeca,40.72152197,-74.01068329,Canal Park,40.72529377661101,-74.01054456631637,Park,Outdoors & Recreation,Park,Park,Park
1935,Tribeca,40.72152197,-74.01068329,Duane Park,40.71717275801168,-74.00932869125117,Park,Outdoors & Recreation,Park,Park,Park
1936,Tribeca,40.72152197,-74.01068329,Tribeca Park,40.72022033735694,-74.00544611976716,Park,Outdoors & Recreation,Park,Park,Park
1937,West Village,40.73443394,-74.00617998,Bleecker Street Park,40.7361101683272,-74.00532576971798,Park,Outdoors & Recreation,Park,Park,Park
1938,West Village,40.73443394,-74.00617998,Hudson River Park Run,40.73441328403598,-74.01000022888185,Park,Outdoors & Recreation,Park,Park,Park
1939,West Village,40.73443394,-74.00617998,Hudson River Park,40.73386936588439,-74.0104541746021,Park,Outdoors & Recreation,Park,Park,Park
1940,West Village,40.73443394,-74.00617998,Abingdon Square Park,40.73738578107579,-74.005263193582,Park,Outdoors & Recreation,Park,Park,Park
1941,Manhattan Valley,40.79730704,-73.96428618,Central Park - Strangers' Gate,40.79823664125415,-73.95989861532688,Park,Outdoors & Recreation,Park,Park,Park
1942,Morningside Heights,40.80799974,-73.96389628,Riverside Park @ 115th St.,40.806640478998276,-73.96651381236042,Park,Outdoors & Recreation,Park,Park,Park
1943,Morningside Heights,40.80799974,-73.96389628,Riverside Park,40.80680943343913,-73.96865129470825,Park,Outdoors & Recreation,Park,Park,Park
1944,Morningside Heights,40.80799974,-73.96389628,Morningside Park,40.806144282339694,-73.95879685878755,Park,Outdoors & Recreation,Park,Park,Park
1945,Gramercy,40.73720983,-73.98137595,Gramercy Park,40.737876444141605,-73.98590326309206,Park,Outdoors & Recreation,Park,Park,Park
1946,Gramercy,40.73720983,-73.98137595,Stuyvesant Square Park,40.73371412655719,-73.98420810699463,Park,Outdoors & Recreation,Park,Park,Park
1947,Battery Park City,40.71193198,-74.01686931,Battery Park City Esplanade,40.71162184551407,-74.01790738105773,Park,Outdoors & Recreation,Park,Park,Park
